sample,label
10_37_361972,3
10_37_361979,3
10_37_361992,3
10_37_362020,4
10_37_362069,2
10_38_770665,1
10_38_871158,1
10_38_871220,1
10_38_871254,2
10_38_871282,2
10_38_871295,2
10_38_880125,1
10_38_941149,4
10_38_941389,4
10_38_941406,2
10_38_961696,2
10_38_970311,1
10_38_970377,2
10_38_1040672,5
10_38_1041002,4
10_38_1041144,3
10_38_1041149,3
10_38_1041150,3
10_38_1041151,4
10_38_1041162,4
10_38_1041165,3
10_38_1041169,4
10_38_1041176,3
10_38_1041179,3
10_38_1041184,4
10_38_1041196,3
10_38_1041214,3
10_38_1041228,3
10_38_1041232,4
10_38_1041243,3
10_38_1041279,4
10_38_1041283,4
10_38_1041300,4
10_38_1041311,3
10_38_1041318,3
10_38_1041338,3
10_38_1041339,3
10_38_1041342,3
10_38_1041355,4
10_38_1041368,3
10_38_1041382,4
10_38_1041402,3
10_38_1041407,3
10_38_1041428,2
10_38_1041435,4
10_38_1041461,4
10_38_1041463,4
10_38_1041488,3
10_38_1041624,4
10_38_1062314,3
10_38_1062316,3
10_38_1062384,3
10_38_1062402,3
10_38_1062411,3
10_38_1062425,3
10_38_1062439,1
10_38_1062441,4
10_38_1062468,3
10_38_1062470,3
10_38_1062473,3
10_38_1062479,1
10_38_1062482,3
10_38_1062504,3
10_38_1062508,3
10_38_1062509,3
10_38_1062519,3
10_38_1062521,3
10_38_1062568,3
10_38_1062573,3
10_38_1062582,4
10_38_1062601,3
10_38_1062609,3
10_38_1062622,3
10_38_1062667,3
10_38_1062706,3
10_38_1062723,3
10_38_1062757,2
10_38_1062771,3
10_38_1062823,4
10_38_1062835,3
10_38_1062875,3
10_38_1070157,3
10_38_1070337,4
10_38_1070354,3
10_38_1070393,3
10_38_1070443,3
10_38_1070467,3
10_38_1070511,3
10_38_1070759,3
10_38_1141402,3
10_38_1161485,3
10_38_1161593,3
10_38_1161610,3
10_38_1161627,4
10_38_1161687,4
10_38_1161694,3
10_38_1161762,4
10_38_1161875,3
10_38_1161956,3
10_39_1570471,1
10_39_1671133,1
10_39_1671303,1
10_39_1671321,1
10_39_1671373,1
10_39_1741440,1
10_39_1770315,1
10_39_1770363,3
10_39_1770365,1
10_39_1770390,3
10_39_1770457,3
10_39_1770466,3
10_39_1841466,3
10_39_1841470,4
10_39_1841479,4
10_39_1841488,2
10_39_1841505,3
10_39_1841510,4
10_39_1841522,3
10_39_1841526,4
10_39_1841529,4
10_39_1841542,3
10_39_1841557,3
10_39_1841563,4
10_39_1841570,3
10_39_1841583,3
10_39_1841592,4
10_39_1841615,3
10_39_1841643,3
10_39_1841645,3
10_39_1841647,3
10_39_1841648,4
10_39_1841656,3
10_39_1841667,4
10_39_1841673,3
10_39_1841677,3
10_39_1841683,3
10_39_1841700,4
10_39_1841707,4
10_39_1841713,3
10_39_1841734,4
10_39_1841737,3
10_39_1841740,3
10_39_1841766,3
10_39_1841792,3
10_39_1850176,2
10_39_1862140,4
10_39_1862299,3
10_39_1862344,3
10_39_1862546,3
10_39_1862581,4
10_39_1862604,4
10_39_1862616,3
10_39_1862618,4
10_39_1862622,4
10_39_1862624,3
10_39_1862635,3
10_39_1862655,3
10_39_1862661,3
10_39_1862667,3
10_39_1862671,3
10_39_1862693,4
10_39_1862698,3
10_39_1862701,3
10_39_1862704,4
10_39_1862706,4
10_39_1870277,4
10_39_1870299,3
10_39_1870306,3
10_39_1870365,3
10_39_1870368,3
10_39_1870374,3
10_39_1870394,3
10_39_1870401,3
10_39_1870439,3
10_39_1870449,3
10_39_1870455,3
10_39_1870461,3
10_39_1870487,3
10_39_1870491,3
10_39_1870514,3
10_39_1870521,3
10_39_1870534,3
10_39_1870541,3
10_39_1870580,4
10_39_1870659,3
10_39_1870663,3
10_39_1870666,2
10_39_1870671,3
10_39_1870692,3
10_39_1870695,1
10_39_1870713,4
10_39_1870804,3
10_39_1941174,3
10_39_1941240,3
10_39_1941301,3
10_39_1941330,3
10_39_1941332,3
10_39_1941338,4
10_39_1941340,3
10_39_1941349,3
10_39_1941404,4
10_39_1941415,4
10_39_1950138,3
10_39_1950158,3
10_39_1950202,3
10_39_1950298,4
10_39_1961931,4
10_39_1962014,3
10_39_1970243,3
10_39_1970272,3
10_39_1970314,3
10_39_1970328,3
10_39_1970349,3
10_39_1970422,3
10_40_2340222,2
10_40_2380192,1
10_40_2450616,1
10_40_2481297,5
10_40_2490512,1
10_40_2490546,1
10_40_2490713,1
10_40_2570724,1
10_40_2591162,3
10_40_2680775,4
10_40_2680789,4
10_40_2680809,3
10_40_2680813,4
10_40_2680823,4
10_40_2680827,3
10_40_2680831,4
10_40_2680844,4
10_40_2680852,3
10_40_2680854,4
10_40_2680860,4
10_40_2680864,3
10_40_2680920,1
10_40_2680938,4
10_40_2680973,4
10_40_2680976,4
10_40_2681088,3
10_40_2701514,1
10_40_2701591,3
10_40_2701621,4
10_40_2701698,3
10_40_2701726,2
10_40_2701728,3
10_40_2701731,3
10_40_2701747,3
10_40_2701749,3
10_40_2701750,2
10_40_2701753,3
10_40_2701757,3
10_40_2701759,3
10_40_2701764,3
10_40_2701771,4
10_40_2701772,4
10_40_2701776,3
10_40_2701778,3
10_40_2701783,3
10_40_2701784,3
10_40_2701787,3
10_40_2701789,3
10_40_2701792,3
10_40_2701796,3
10_40_2701797,3
10_40_2701803,3
10_40_2701813,3
10_40_2701851,3
10_40_2701856,3
10_40_2701860,3
10_40_2701864,3
10_40_2701868,3
10_40_2701879,3
10_40_2701880,3
10_40_2701884,4
10_40_2701893,3
10_40_2701895,3
10_40_2701935,3
10_40_2702004,3
10_40_2702019,3
10_40_2702039,3
10_40_2702041,3
10_40_2702044,2
10_40_2702077,3
