sample,label
10_38_1062521,5
10_38_1062568,5
10_38_1062573,5
10_38_1062582,4
10_38_1062601,5
10_38_1062609,5
10_38_1062622,5
10_38_1062667,5
10_38_1062706,5
10_38_1062723,5
10_38_1062757,3
10_38_1062771,5
10_38_1062820,2
10_38_1062823,4
10_38_1062835,5
10_38_1062875,5
10_38_1070157,5
10_38_1070337,4
10_38_1070354,5
10_38_1070393,5
10_38_1070443,5
10_38_1070467,5
10_38_1070511,5
10_38_1070759,5
10_38_1141402,5
10_38_1161485,5
10_38_1161593,5
10_38_1161610,5
10_38_1161627,4
10_38_1161687,4
10_38_1161694,5
10_38_1161762,4
10_38_1161851,2
10_38_1161875,5
10_38_1161956,5
10_39_1550191,4
10_39_1570471,2
10_39_1640934,3
10_39_1671133,2
10_39_1671303,2
10_39_1671321,2
10_39_1671373,2
10_39_1741440,2
10_39_1770315,2
10_39_1770363,5
10_39_1770365,2
10_39_1770390,5
10_39_1770457,5
10_39_1770466,5
10_39_1841466,5
10_39_1841470,4
10_39_1841479,4
10_39_1841488,4
10_39_1841505,5
10_39_1841510,4
10_39_1841522,5
10_39_1841526,4
10_39_1841529,4
10_39_1841542,5
10_39_1841557,5
10_39_1841563,4
10_39_1841570,5
10_39_1841572,3
10_39_1841583,5
10_39_1841592,4
10_39_1841615,5
10_39_1841643,5
10_39_1841645,5
10_39_1841647,5
10_39_1841648,4
10_39_1841656,5
10_39_1841667,4
10_39_1841673,5
10_39_1841677,5
10_39_1841683,5
10_39_1841700,4
10_39_1841707,4
10_39_1841713,5
10_39_1841734,4
10_39_1841737,5
10_39_1841740,5
10_39_1841766,5
10_39_1841792,5
10_39_1850176,3
10_39_1862140,4
10_39_1862299,5
10_39_1862344,5
10_39_1862546,5
10_39_1862581,4
10_39_1862604,4
10_39_1862616,5
10_39_1862618,4
10_39_1862622,4
10_39_1862624,5
10_39_1862635,5
10_39_1862655,5
10_39_1862661,5
10_39_1862664,3
10_39_1862667,5
10_39_1862671,5
10_39_1862689,4
10_39_1862693,4
10_39_1862698,5
10_39_1862701,5
10_39_1862704,4
10_39_1862706,4
10_39_1870277,4
10_39_1870299,5
10_39_1870306,5
10_39_1870365,5
10_39_1870368,5
10_39_1870374,5
10_39_1870394,5
10_39_1870401,5
10_39_1870414,2
10_39_1870439,5
10_39_1870449,5
10_39_1870455,5
10_39_1870461,5
10_39_1870487,5
10_39_1870491,5
10_39_1870514,5
10_39_1870521,5
10_39_1870534,5
10_39_1870541,5
10_39_1870580,4
10_39_1870659,5
10_39_1870663,5
10_39_1870666,3
10_39_1870671,5
10_39_1870692,5
10_39_1870695,2
10_39_1870713,4
10_39_1870804,5
10_39_1871824,3
10_39_1941174,4
10_39_1941240,5
10_39_1941301,5
10_39_1941330,5
10_39_1941332,5
10_39_1941338,4
10_39_1941340,5
10_39_1941349,5
10_39_1941404,4
10_39_1941415,4
10_39_1950138,5
10_39_1950158,5
10_39_1950202,5
10_39_1950298,4
10_39_1961931,4
10_39_1961985,2
10_39_1962014,2
10_39_1970243,5
10_39_1970272,5
10_39_1970314,5
10_39_1970328,5
10_39_1970349,5
10_39_1970422,5
