sample,label
5_17_80965,5
5_17_90066,2
5_17_90070,5
5_17_90078,5
5_17_90083,5
5_17_90095,5
5_17_90108,3
5_17_90115,5
5_17_90120,6
5_17_90132,5
5_17_90141,5
5_17_90150,5
5_17_90160,5
5_17_90192,6
5_17_90193,5
5_17_90197,5
5_17_90201,5
5_17_90205,5
5_17_90206,2
5_17_90207,5
5_17_90214,2
5_17_90216,5
5_17_90219,5
5_17_90224,5
5_17_90228,2
5_17_90231,5
5_17_90242,6
5_17_90244,5
5_17_90246,5
5_17_90252,5
5_17_90253,5
5_17_90264,5
5_17_90290,2
5_17_90299,5
5_17_90308,6
5_17_90313,6
5_17_90317,5
5_17_90320,5
5_17_90324,5
5_17_90325,6
5_17_90331,6
5_17_90334,5
5_17_90337,5
5_17_90338,6
5_17_90346,2
5_17_90351,6
5_17_90374,2
5_17_90380,2
5_17_90399,3
5_17_90477,6
5_17_120055,1
5_17_130056,1
5_17_130086,2
5_17_130087,2
5_17_130099,2
5_17_130101,2
5_17_130111,2
5_17_130116,2
5_17_130125,2
5_17_130129,2
5_17_130132,2
5_17_130135,6
5_17_130142,2
5_17_130145,2
5_17_130149,2
5_17_130150,2
5_17_130158,2
5_17_130162,1
5_17_130165,2
5_17_130168,2
5_17_130176,2
5_17_130178,2
5_17_130180,3
5_17_130182,2
5_17_130184,2
5_17_130200,2
5_17_130208,5
5_17_130209,6
5_17_130212,2
5_17_130223,2
5_17_130224,2
5_17_130235,2
5_17_130240,5
5_17_130246,2
5_17_130250,2
5_17_130258,5
5_17_130261,5
5_17_130262,5
5_17_130264,5
5_17_130266,2
5_17_130270,5
5_17_130273,2
5_17_130277,5
5_17_130281,2
5_17_130282,5
5_17_130283,5
5_17_130286,6
5_17_130288,2
5_17_130290,5
5_17_130293,5
5_17_130294,2
5_17_130295,2
5_17_130296,1
5_17_130297,5
5_17_130299,2
5_17_130302,5
5_17_130304,2
5_17_130313,5
5_17_130318,2
5_17_130319,7
5_17_130325,5
5_17_130326,5
5_17_130330,5
5_17_130331,5
5_17_130332,6
5_17_130333,5
5_17_130334,5
5_17_130337,5
5_17_130349,5
5_17_130353,5
5_17_130354,5
5_17_130355,5
5_17_130356,2
5_17_130358,2
5_17_130359,5
5_17_130362,4
5_17_130365,5
5_17_130369,2
5_17_130371,5
5_17_130372,5
5_17_130373,5
5_17_130377,2
5_17_130378,5
5_17_130382,5
5_17_130383,5
5_17_130384,5
5_17_130385,5
5_17_130390,4
5_17_130393,5
5_17_130394,5
5_17_130396,2
5_17_130398,5
5_17_130399,1
5_17_130401,5
5_17_130404,5
5_17_130406,5
5_17_130409,5
5_17_130410,2
5_17_130411,5
5_17_130418,5
5_17_130419,5
5_17_130420,5
5_17_130421,2
5_17_130423,5
5_17_130426,5
5_17_130429,5
5_17_130430,5
5_17_130431,2
5_17_130434,5
5_17_130443,5
5_17_130444,2
5_17_130445,5
5_17_130447,2
5_17_130448,2
5_17_130451,2
5_17_130452,2
5_17_130454,6
5_17_130455,2
5_17_130456,2
5_17_130457,2
5_17_130458,6
5_17_130459,2
5_17_130461,2
5_17_130462,2
5_17_130465,2
5_17_130468,2
5_17_130471,2
5_17_130474,5
5_17_130475,2
5_17_130476,2
5_17_130478,6
5_17_130482,2
5_17_130483,5
5_17_130485,6
5_17_130490,5
5_17_130493,2
5_17_130494,2
5_17_130496,2
5_17_130499,5
5_17_130500,4
5_17_130502,2
5_17_130506,2
5_17_130507,5
5_17_130508,2
5_17_130509,2
5_17_130519,2
5_17_130532,2
5_17_130537,2
5_17_130538,5
5_17_130540,6
5_17_130543,2
5_17_130550,5
5_17_130551,5
5_17_130556,5
5_17_130560,2
5_17_130563,2
5_17_130572,5
5_17_130573,5
5_17_130581,2
5_17_130586,6
5_17_130587,2
5_17_130592,5
5_17_130598,2
5_17_130599,2
5_17_130614,2
5_17_130623,2
5_17_130627,5
5_17_130647,2
5_17_130652,5
5_17_130656,5
5_17_130657,2
5_17_130662,5
5_17_130678,2
5_17_130683,5
5_17_130688,5
5_17_130696,7
5_17_130697,2
5_17_130701,2
5_17_130702,5
5_17_130706,2
5_17_130724,2
5_17_130730,5
5_17_130732,5
5_17_130741,2
5_17_130780,2
5_17_130788,5
5_17_130796,2
5_17_130797,2
5_17_130830,5
5_17_130831,2
5_17_140070,7
5_17_140108,5
5_17_140147,2
5_17_140163,2
5_17_140179,5
5_17_140238,7
5_17_140288,2
5_17_140292,2
5_17_140500,5
5_17_140554,6
5_17_140562,6
5_17_140588,6
5_17_140605,3
5_17_140607,6
5_17_140615,2
5_17_140620,2
5_17_140624,2
5_17_140626,5
5_17_140630,2
5_17_140634,2
5_17_140638,2
5_17_140643,2
5_17_140647,2
5_17_140650,5
5_17_140652,6
5_17_140654,2
5_17_140659,2
5_17_140662,2
5_17_140666,2
5_17_140668,2
5_17_140672,2
5_17_140676,5
5_17_140681,2
5_17_140686,2
5_17_140687,2
5_17_140688,6
5_17_140689,5
5_17_140690,2
5_17_140691,2
5_17_140692,5
5_17_140697,2
5_17_140700,2
5_17_140703,5
5_17_140704,1
5_17_140708,5
5_17_140714,2
5_17_140717,2
5_17_140718,6
5_17_140722,6
5_17_140724,5
5_17_140727,6
5_17_140728,6
5_17_140732,8
5_17_140733,6
5_17_140737,5
5_17_140743,6
5_17_140745,5
5_17_140752,5
5_17_140755,6
5_17_140756,5
5_17_140758,6
5_17_140761,6
5_17_140763,6
5_17_140774,6
5_17_140776,6
5_17_140777,5
5_17_140779,5
5_17_140783,5
5_17_140789,6
5_17_140790,5
5_17_140793,5
5_17_140794,5
5_17_140796,6
5_17_140798,5
5_17_140800,5
5_17_140802,5
5_17_140803,6
5_17_140805,6
5_17_140806,4
5_17_140807,5
5_17_140811,6
5_17_140814,5
5_17_140815,4
5_17_140816,5
5_17_140819,6
5_17_140821,5
5_17_140822,5
5_17_140825,5
5_17_140828,6
5_17_140829,5
5_17_140833,5
5_17_140836,5
5_17_140838,2
5_17_140839,5
5_17_140843,5
5_17_140844,5
5_17_140850,6
5_17_140853,4
5_17_140856,5
5_17_140861,5
5_17_140863,5
5_17_140864,6
5_17_140865,5
5_17_140866,6
5_17_140867,5
5_17_140868,5
5_17_140869,5
5_17_140871,5
5_17_140872,5
5_17_140873,6
5_17_140874,6
5_17_140875,5
5_17_140879,2
5_17_140882,5
5_17_140885,5
5_17_140887,5
5_17_140889,5
5_17_140891,6
5_17_140892,5
5_17_140893,6
5_17_140899,5
5_17_140903,5
5_17_140905,5
5_17_140909,5
5_17_140915,5
5_17_140919,5
5_17_140920,5
5_17_140922,6
5_17_140924,5
5_17_140926,5
5_17_140930,4
5_17_140931,5
5_17_140932,5
5_17_140934,5
5_17_140938,5
5_17_140939,6
5_17_140940,5
5_17_140941,5
5_17_140942,2
5_17_140946,5
5_17_140949,5
5_17_140952,5
5_17_140960,5
5_17_140963,5
5_17_140964,5
5_17_140970,5
5_17_140971,5
5_17_140976,5
5_17_140978,6
5_17_140979,5
5_17_140987,5
5_17_140988,5
5_17_140991,5
5_17_140992,5
5_17_140993,3
5_17_140997,5
5_17_140999,5
5_17_141002,6
5_17_141003,5
5_17_141005,5
5_17_141006,5
5_17_141008,5
5_17_141012,5
5_17_141015,5
5_17_141016,5
5_17_141022,5
5_17_141023,6
5_17_141027,2
5_17_141034,5
5_17_141035,5
5_17_141037,5
5_17_141040,5
5_17_141044,5
5_17_141045,5
5_17_141056,5
5_17_141057,5
5_17_141059,5
5_17_141061,5
5_17_141062,5
5_17_141063,6
5_17_141064,6
5_17_141066,5
5_17_141067,6
5_17_141068,5
5_17_141074,6
5_17_141075,5
5_17_141076,5
5_17_141077,5
5_17_141078,5
5_17_141079,5
5_17_141080,5
5_17_141082,5
5_17_141087,5
5_17_141088,5
5_17_141095,6
5_17_141105,5
5_17_141106,5
5_17_141107,5
5_17_141109,5
5_17_141114,6
5_17_141116,5
5_17_141122,5
5_17_141127,5
5_17_141130,5
5_17_141135,5
5_17_141139,5
5_17_141140,5
5_17_141142,6
5_17_141144,5
5_17_141148,5
5_17_141153,6
5_17_141155,5
5_17_141158,5
5_17_141167,6
5_17_141175,5
5_17_141177,5
5_17_141179,5
5_17_141182,6
5_17_141183,5
5_17_141188,5
5_17_141189,5
5_17_141191,5
5_17_141196,6
5_17_141197,6
5_17_141201,5
5_17_141202,2
5_17_141209,5
5_17_141223,5
5_17_141232,2
5_17_141237,5
5_17_141240,5
5_17_141249,2
5_17_141250,5
5_17_141252,5
5_17_141255,2
5_17_141258,2
5_17_141262,6
5_17_150067,8
5_17_150074,5
5_17_150097,2
5_17_150098,5
5_17_150101,6
5_17_150107,5
5_17_150110,5
5_17_150111,5
5_17_150112,5
5_17_150122,2
5_17_150136,5
5_17_150159,5
5_17_150164,5
5_17_150171,5
5_17_150183,6
5_17_150185,5
5_17_150191,6
5_17_150192,6
5_17_150199,2
5_17_150201,2
5_17_150202,5
5_17_150210,5
5_17_150219,5
5_17_150221,2
5_17_150224,6
5_17_150230,2
5_17_150233,6
5_17_150234,6
5_17_150236,1
5_17_150254,6
5_17_150259,6
5_17_150260,6
5_17_150264,6
5_17_150300,6
5_17_150306,6
5_17_150317,6
5_17_150333,6
5_17_150338,4
5_17_150340,2
5_17_150376,5
5_17_150383,5
5_17_150393,6
5_17_150404,2
5_17_150412,5
5_17_150421,5
5_17_150425,6
5_17_150435,6
5_17_150452,2
5_17_150456,5
5_17_150480,5
5_17_150488,6
5_17_150494,6
5_17_150503,6
5_17_150505,5
5_17_150514,6
5_17_150526,3
5_17_150529,6
5_17_150530,6
5_17_150557,6
5_17_150567,6
5_17_150588,2
5_17_150589,6
5_17_150599,6
5_17_150611,6
5_17_150714,6
5_17_151182,2
5_17_151229,6
5_17_151345,6
5_17_151491,6
5_17_160196,6
5_17_160287,4
5_17_160292,6
5_17_160302,6
5_17_160307,6
5_17_160318,6
5_17_160320,2
5_17_160334,6
5_17_160349,6
5_17_160352,6
5_17_160363,6
5_17_160375,2
5_17_160377,6
5_17_160382,6
5_17_160391,6
5_17_160392,6
5_17_160403,4
5_17_160404,1
5_17_160409,6
5_17_160418,6
5_17_160419,6
5_17_160434,2
5_17_160435,6
5_17_160440,6
5_17_160444,8
5_17_160451,5
5_17_160452,6
5_17_160478,1
5_17_160483,6
5_17_160487,5
5_17_160502,4
5_17_160503,6
5_17_160508,2
5_17_160514,6
5_17_160518,6
5_17_160519,6
5_17_160520,6
5_17_160527,6
5_17_160530,2
5_17_160536,8
5_17_160549,6
5_17_160550,6
5_17_160563,6
5_17_160565,2
5_17_160568,6
5_17_160570,6
5_17_160573,3
5_17_160574,6
5_17_160576,2
5_17_160580,6
5_17_160592,6
5_17_160603,6
5_17_160608,6
5_17_160612,6
5_17_160615,5
5_17_160616,6
5_17_160620,5
5_17_160625,6
5_17_160626,5
5_17_160634,5
5_17_160635,6
5_17_160640,5
5_17_160646,5
5_17_160650,5
5_17_160656,5
5_17_160661,4
5_17_160668,6
5_17_160671,5
5_17_160677,5
5_17_160683,6
5_17_160686,6
5_17_160694,5
5_17_160706,5
5_17_160707,5
5_17_160723,1
5_17_160726,6
5_17_160728,5
5_17_160736,6
5_17_160757,5
5_17_160761,6
5_17_160770,6
5_17_160776,5
5_17_160778,5
5_17_160783,5
5_17_160786,5
5_17_160793,5
5_17_160795,5
5_17_160797,5
5_17_160798,5
5_17_160801,6
5_17_160807,5
5_17_160814,5
5_17_160818,5
5_17_160819,1
5_17_160823,5
5_17_160828,5
5_17_160830,6
5_17_160836,6
5_17_160837,5
5_17_160838,5
5_17_160847,5
5_17_160851,5
5_17_160852,5
5_17_160858,5
5_17_160859,2
5_17_160860,5
5_17_160865,5
5_17_160866,5
5_17_160869,2
5_17_160875,5
5_17_160877,5
5_17_160883,2
5_17_160890,5
5_17_160893,5
5_17_160896,5
5_17_160899,5
5_17_160901,5
5_17_160908,5
5_17_160912,6
5_17_160915,5
5_17_160918,5
5_17_160929,5
5_17_160930,5
5_17_160933,6
5_17_160935,5
5_17_160939,6
5_17_160947,6
5_17_160950,5
5_17_160956,6
5_17_160957,5
5_17_160961,5
5_17_160964,5
5_17_160965,5
5_17_160966,5
5_17_160971,5
5_17_160974,2
5_17_160975,5
5_17_160976,5
5_17_160983,6
5_17_160990,5
5_17_160991,5
5_17_160998,8
5_17_161001,5
5_17_161003,6
5_17_161005,5
5_17_161008,5
5_17_161011,6
5_17_161016,5
5_17_170080,5
5_17_170093,5
5_17_170097,8
5_17_170111,5
5_17_170118,1
5_17_170127,5
5_17_170138,5
5_17_170140,5
5_17_170145,5
5_17_170151,5
5_17_170155,5
5_17_170167,5
5_17_170171,5
5_17_170179,6
5_17_170187,5
5_17_170191,5
5_17_170194,5
5_17_170195,5
5_17_170196,6
5_17_170199,5
5_17_170224,5
5_17_170225,5
