sample,label
11_41_160360,2
11_41_160373,2
11_41_160384,2
11_41_160386,7
11_41_160396,2
11_41_160400,6
11_41_160405,4
11_41_160406,4
11_41_160407,4
11_41_160411,7
11_41_160412,4
11_41_160415,8
11_41_160422,4
11_41_160429,1
11_41_160439,7
11_41_160442,1
11_41_160456,4
11_41_160463,2
11_41_160467,2
11_41_160477,2
11_41_160485,6
11_41_160491,4
11_41_160494,2
11_41_160496,2
11_41_160506,1
11_41_160510,4
11_41_160512,1
11_41_160515,4
11_41_160533,1
11_41_160538,1
11_41_160558,6
11_41_160561,4
11_41_160570,4
11_41_160577,1
11_41_160579,1
11_41_160591,7
11_41_160600,5
11_41_160603,1
11_41_160624,5
11_41_160645,1
11_41_160655,7
11_41_160658,4
11_41_160662,7
11_41_160666,1
11_41_160677,4
11_41_160683,8
11_41_160691,4
11_41_160694,1
11_41_160695,7
11_41_160696,4
11_41_160708,4
11_41_160710,4
11_41_160714,1
11_41_160721,4
11_41_160724,1
11_41_160732,7
11_41_160745,4
11_41_160748,7
11_41_160755,1
11_41_160762,4
11_41_160771,1
11_41_160780,4
11_41_160802,7
11_41_160812,1
11_41_160813,7
11_41_160818,2
11_41_160821,1
11_41_160825,7
11_41_160830,4
11_41_160831,1
11_41_160840,7
11_41_160841,7
11_41_160843,1
11_41_160848,7
11_41_160851,7
11_41_160866,6
11_41_160870,1
11_41_160873,7
11_41_160879,6
11_41_160880,2
11_41_160891,7
11_41_160893,1
11_41_160894,7
11_41_160902,7
11_41_160903,1
11_41_160905,4
11_41_160910,1
11_41_160912,7
11_41_160916,4
11_41_160926,1
11_41_160931,4
11_41_160935,7
11_41_160938,1
11_41_160941,7
11_41_160956,6
11_41_160965,1
11_41_160967,4
11_41_160972,7
11_41_160973,7
11_41_160977,6
11_41_160982,4
11_41_160990,7
11_41_161002,4
11_41_161009,1
11_41_161012,4
11_41_161016,1
11_41_161018,4
11_41_161019,1
11_41_161022,7
11_41_161023,4
11_41_161024,1
11_41_161025,8
11_41_161030,1
11_41_161032,7
11_41_161039,4
11_41_161043,1
11_41_161047,4
11_41_161048,3
11_41_161050,4
11_41_161067,7
11_41_161076,7
11_41_161095,1
11_41_161104,8
11_41_161122,4
11_41_161127,1
11_41_161130,1
11_41_161142,4
11_41_161143,6
11_41_161146,4
11_41_161147,4
11_41_161148,1
11_41_161158,1
11_41_161160,1
11_41_161171,1
11_41_161172,8
11_41_161186,4
11_41_161196,7
11_41_161202,1
11_41_161206,4
11_41_161212,8
11_41_161219,4
11_41_161221,4
11_41_161229,4
11_41_161240,4
11_41_161244,1
11_41_161245,1
11_41_161248,4
11_41_161255,4
11_41_161256,4
11_41_161257,6
11_41_161271,1
11_41_161276,1
11_41_161281,6
11_41_161284,7
11_41_161285,4
11_41_161294,7
11_41_161295,7
11_41_161297,1
11_41_161305,1
11_41_161312,6
11_41_161326,7
11_41_161329,4
11_41_161338,6
11_41_161340,7
11_41_161351,6
11_41_161354,1
11_41_161358,6
11_41_161361,8
11_41_161364,1
11_41_161371,4
11_41_161373,4
11_41_161383,8
11_41_161385,4
11_41_161388,1
11_41_161397,8
11_41_161401,4
11_41_161403,4
11_41_161412,7
11_41_161414,7
11_41_161419,1
11_41_161421,4
11_41_161423,4
11_41_161428,1
11_41_161435,7
11_41_161437,1
11_41_161438,1
11_41_161440,1
11_41_161443,7
11_41_161447,8
11_41_161454,4
11_41_161455,1
11_41_161465,6
11_41_161468,6
11_41_161470,4
11_41_170124,1
11_41_170151,7
11_41_170158,4
11_41_170159,4
11_41_170162,4
11_41_170173,7
11_41_170186,8
11_41_170194,4
11_41_170196,1
11_41_170198,4
11_41_170211,6
11_41_170233,4
11_41_170237,6
11_41_170250,4
11_41_170253,4
11_41_170255,8
11_41_170257,8
11_41_170262,1
11_41_170269,7
11_41_170272,1
11_41_170279,8
11_41_170284,1
11_41_170290,8
11_41_170291,8
11_41_170304,4
11_41_170307,8
11_41_170309,4
11_41_170313,7
11_41_170324,9
11_41_170338,1
11_41_170359,4
11_41_170367,1
11_41_170370,7
11_41_170381,1
11_41_170393,1
11_41_170403,8
11_41_170411,1
11_41_170415,1
11_41_170420,7
11_41_170421,1
11_41_170424,4
11_41_170432,8
11_41_170433,8
11_41_170435,1
11_41_170440,1
11_41_170441,1
11_41_170442,6
11_41_170450,1
11_41_170452,1
11_41_170453,8
11_41_170462,4
11_41_170475,7
11_41_170477,1
11_41_170478,1
11_41_170483,4
11_41_170489,4
11_41_170499,7
11_41_170500,4
11_41_170501,7
11_41_170504,1
11_41_170516,1
11_41_170519,8
11_41_170529,8
11_41_170538,7
11_41_170542,8
11_41_170545,6
11_41_170556,1
11_41_170560,1
11_41_170563,6
11_41_170582,5
11_41_170609,1
11_41_170611,1
11_41_170624,4
11_41_170625,8
11_41_170639,4
11_41_170643,6
11_41_170649,1
11_41_170654,6
11_41_170658,4
11_41_170667,7
11_41_170669,4
11_41_170673,4
11_41_170677,6
11_41_170686,7
11_41_170689,4
11_41_170694,7
11_41_170699,8
11_41_170702,7
11_41_170706,7
11_41_170722,1
11_41_170726,1
11_41_170729,6
11_41_170737,7
11_41_170752,4
11_41_170765,6
11_41_170768,1
11_41_170773,1
11_41_170781,8
11_41_170785,6
11_41_170787,7
11_41_170795,1
11_41_170801,4
11_41_170815,1
11_41_170818,7
11_41_170820,1
11_41_170827,1
11_41_170828,4
11_41_170830,8
11_41_170833,1
11_41_170837,7
11_41_170851,7
11_41_170856,8
11_41_170873,7
11_41_170877,1
11_41_170891,1
11_41_170899,4
11_41_170902,8
11_41_170909,4
11_41_170914,8
11_41_170915,8
11_41_170926,4
11_41_170933,8
11_41_170942,1
11_41_170943,1
11_41_170960,4
11_41_170972,4
11_41_170975,8
11_41_170980,4
11_41_170990,4
11_41_170992,1
11_41_171008,1
11_41_171009,8
11_41_171011,4
11_41_171018,7
11_41_171026,1
11_41_171028,4
11_41_171036,6
11_41_171051,4
11_41_171060,7
11_41_171062,8
11_41_171066,7
11_41_171071,4
11_41_171082,1
11_41_171083,7
11_41_171085,8
11_41_171098,8
11_41_171100,7
11_41_171102,7
11_41_171104,4
11_41_171108,8
11_41_171110,1
11_41_171114,4
11_41_171119,4
11_41_171120,6
11_41_171122,4
11_41_171133,4
11_41_171134,4
11_41_171135,1
11_41_171139,7
11_41_171146,4
11_41_171151,1
11_41_171161,4
11_41_171174,6
11_41_171179,7
11_41_171184,1
11_41_171196,1
11_41_171198,1
11_41_171207,8
11_41_171208,4
11_41_171209,7
11_41_171211,6
11_41_171215,7
11_41_171219,6
11_41_171226,1
11_41_171229,4
11_41_171232,6
11_41_171264,4
11_41_171270,6
11_41_171276,4
11_41_171280,8
11_41_171283,6
11_41_171288,4
11_41_171294,1
11_41_171297,7
11_41_171304,7
11_41_171305,1
11_41_171313,1
11_41_171315,1
11_41_171331,1
11_41_171338,1
11_41_171340,4
11_41_171341,4
11_41_171346,4
11_41_171347,7
11_41_171360,7
11_41_171374,7
11_41_171377,7
11_41_171381,1
11_41_171393,7
11_41_171407,8
11_41_171433,1
11_41_171438,4
11_41_171445,7
11_41_171448,7
11_41_171453,4
11_41_171455,7
11_41_171458,7
11_41_171461,7
11_41_171466,4
11_41_171468,7
11_41_171471,4
11_41_171473,3
11_41_171478,1
11_41_171480,7
11_41_171482,1
11_41_171485,6
11_41_171489,4
11_41_171491,1
11_41_171494,1
11_41_171508,1
11_41_171515,7
11_41_171518,4
11_41_171525,4
11_41_171537,7
11_41_171538,7
11_41_171542,4
11_41_171555,1
11_41_180070,4
11_41_180078,8
11_41_180113,4
11_41_180120,1
11_41_180126,4
11_41_180129,7
11_41_180133,1
11_41_180144,4
11_41_180151,1
11_41_180159,6
11_41_180166,1
11_41_180175,4
11_41_180181,1
11_41_180192,4
11_41_180202,4
11_41_180214,1
11_41_180230,1
11_41_180234,1
11_41_180242,7
11_41_180250,4
11_41_180259,4
11_41_180260,4
11_41_180263,4
11_41_180264,4
11_41_180266,3
11_41_180283,6
11_41_180298,4
11_41_180301,7
11_41_180310,7
11_41_180318,4
11_41_180320,7
11_41_180323,7
11_41_180324,4
11_41_180330,7
11_41_180331,1
11_41_180339,1
11_41_180341,4
11_41_180344,2
11_41_180345,7
11_41_180354,1
11_41_180357,7
11_41_180361,1
11_41_180373,4
11_41_180375,4
11_41_180380,6
11_41_180382,4
11_41_180386,3
11_41_180388,7
11_41_180390,7
11_41_180392,8
11_41_180398,6
11_41_180401,7
11_41_180404,1
11_41_180405,6
11_41_180407,4
11_41_180408,4
11_41_180419,4
11_41_180433,1
11_41_180435,8
11_41_180448,7
11_41_180452,7
11_41_180466,4
11_41_180473,4
11_41_180478,4
11_41_180479,4
11_41_180483,7
11_41_180489,4
11_41_180497,1
11_41_180500,1
11_41_180511,4
11_41_180531,4
11_41_180541,4
11_41_180543,4
11_41_180548,1
11_41_180551,4
11_41_180560,4
11_41_180563,2
11_41_180574,4
11_41_180578,7
11_41_180579,4
11_41_180580,1
11_41_180592,1
11_41_180620,4
11_41_180626,4
11_41_180629,8
11_41_180632,7
11_41_180638,1
11_41_180693,1
11_41_180698,8
11_41_180699,1
11_41_180701,4
11_41_180710,4
11_41_180713,4
11_41_180727,7
11_41_180732,4
11_41_180733,4
11_41_180735,2
11_41_180740,2
11_41_180746,4
11_41_180753,4
11_41_180758,1
11_41_180768,1
11_41_180769,2
11_41_180771,2
11_41_180775,4
11_41_180789,8
11_41_180790,7
11_41_180793,4
11_41_180817,7
11_41_180819,4
11_41_180820,7
11_41_180823,4
11_41_180825,6
11_41_180843,1
11_41_180845,7
11_41_180849,4
11_41_180855,2
11_41_180868,7
11_41_180871,2
11_41_180872,4
11_41_180873,2
11_41_180892,1
11_41_180907,4
11_41_180914,2
11_41_180920,4
11_41_180937,4
11_41_180951,1
11_41_180984,2
11_41_180992,4
11_41_181001,2
11_41_181003,1
11_41_181005,2
11_41_181006,2
11_41_181009,2
11_41_181014,4
11_41_181016,2
11_41_181020,2
11_41_181024,1
11_41_181026,7
11_41_181028,1
11_41_181029,7
11_41_181032,7
11_41_181043,7
11_41_181050,7
11_41_181057,7
11_41_181065,7
11_41_181067,7
11_41_181077,6
11_41_181079,2
11_41_181083,1
11_41_181089,1
11_41_181090,6
11_41_181096,2
11_41_181100,2
11_41_181101,2
11_41_181106,2
11_41_181107,4
11_41_181109,6
11_41_181111,1
11_41_181116,2
11_41_181121,4
11_41_181127,2
11_41_181129,4
11_41_181138,4
11_41_181148,2
11_41_181167,7
11_41_181168,4
11_41_181169,4
11_41_181172,4
11_41_181175,4
11_41_181176,4
11_41_181177,2
11_41_181185,1
11_41_181190,4
11_41_181193,1
11_41_181195,1
11_41_181199,4
11_41_181204,4
11_41_181205,7
11_41_181209,2
11_41_181222,4
11_41_181227,2
11_41_181232,2
11_41_181237,1
11_41_181247,2
11_41_181249,4
11_41_181254,1
11_41_181255,1
11_41_181258,1
11_41_181261,4
11_41_181262,2
11_41_181263,4
11_41_181264,1
11_41_181272,4
11_41_181274,4
11_41_181275,2
11_41_181285,2
11_41_181288,6
11_41_181289,1
11_41_181290,1
11_41_181295,4
11_41_181297,1
11_41_181302,5
11_41_181309,4
11_41_181314,8
11_41_181320,1
11_41_181323,5
11_41_181326,5
11_41_181330,1
11_41_181343,4
11_41_181344,1
11_41_190057,2
11_41_190066,1
11_41_190070,8
11_41_190071,3
11_41_190077,6
11_41_190086,2
11_41_190096,1
11_41_190099,1
11_41_190101,7
11_41_190111,5
11_41_190124,4
11_41_190130,4
11_41_190135,5
11_41_190138,5
11_41_190143,1
11_41_190156,6
11_41_190159,1
11_41_190195,8
11_41_190203,1
11_41_190209,1
11_41_190210,1
11_41_190212,1
11_41_190219,1
11_41_190224,4
11_41_190225,9
11_41_190227,1
11_41_190229,8
11_41_190235,1
11_41_190240,1
11_41_190242,1
11_41_190244,2
11_41_190246,1
11_41_190250,1
11_41_190253,1
11_41_190256,4
11_41_190257,1
11_41_190262,1
11_41_190264,1
11_41_190266,1
11_41_190267,4
11_41_190270,2
11_41_190271,1
11_41_190278,6
11_41_190284,4
11_41_190288,1
11_41_190294,6
11_41_190298,4
11_41_190304,1
11_41_190307,4
11_41_190309,1
11_41_190315,7
11_41_190319,1
11_41_190330,7
11_41_190333,1
11_41_190335,1
